iteration,avg_best_distance
1,301451.1045204347
2,296773.79463501
3,294916.0261833738
4,293125.3125794248
5,292574.35055631236
6,291741.9976144976
7,291200.24296918587
8,290339.16118167114
9,289977.7480835372
10,289321.9404544736
11,288999.224487127
12,288845.407536532
13,288799.6639069445
14,288651.7670402605
15,288506.18291713315
16,288274.50135375396
17,288185.8809718869
18,287953.1139546587
19,287863.0087878574
20,287826.07420888986
21,287826.07420888986
22,287770.37885745335
23,287482.88585216255
24,287369.3681185172
25,287335.2923721202
26,287229.0978563754
27,287228.71716379805
28,287192.8061498869
29,286862.06396980287
30,286782.6339918331
31,286573.62922170095
32,286427.1722218059
33,286350.0741210613
34,286350.0741210613
35,286322.52184039
36,286263.52590518945
37,286242.02341166884
38,286206.5527477946
39,286191.1925072879
40,286185.62180681445
41,286166.40542258084
42,286166.40542258084
43,286113.79414272157
44,286113.79414272157
45,286113.79414272157
46,286007.6305583284
47,285986.6145743003
48,285986.233881723
49,285986.233881723
50,285986.233881723
51,285986.233881723
52,285964.73138820234
53,285964.73138820234
54,285964.73138820234
55,285920.85917334986
56,285920.85917334986
57,285920.85917334986
58,285896.07208864286
59,285896.07208864286
60,285896.07208864286
61,285823.8693682433
62,285801.98618214537
63,285801.98618214537
64,285801.98618214537
65,285801.98618214537
66,285780.4836886247
67,285780.4836886247
68,285780.4836886247
69,285780.4836886247
70,285780.4836886247
71,285780.4836886247
72,285780.4836886247
73,285780.4836886247
74,285780.4836886247
75,285780.4836886247
76,285780.4836886247
77,285780.4836886247
78,285780.4836886247
79,285752.93140795344
80,285752.93140795344
81,285752.93140795344
82,285725.8634278901
83,285725.8634278901
84,285725.8634278901
85,285725.8634278901
86,285725.8634278901
87,285725.8634278901
88,285725.8634278901
89,285725.8634278901
90,285725.8634278901
91,285725.8634278901
92,285725.8634278901
93,285725.8634278901
94,285725.8634278901
95,285725.8634278901
96,285725.8634278901
97,285725.8634278901
98,285704.36093436944
99,285683.23913342616
100,285683.23913342616
101,285661.35594732815
